fecha	riesgopais	presidente
1998-12-11	720	Menem
1998-12-14	766	Menem
1998-12-15	734	Menem
1998-12-16	760	Menem
1998-12-17	758	Menem
1998-12-18	761	Menem
1998-12-21	720	Menem
1998-12-22	696	Menem
1998-12-23	682	Menem
1998-12-24	682	Menem
1998-12-25	684	Menem
1998-12-28	704	Menem
1998-12-29	709	Menem
1998-12-30	696	Menem
1998-12-31	700	Menem
1999-01-01	698	Menem
1999-01-04	672	Menem
1999-01-05	640	Menem
1999-01-06	647	Menem
1999-01-07	653	Menem
1999-01-08	655	Menem
1999-01-11	696	Menem
1999-01-12	771	Menem
1999-01-13	1026	Menem
1999-01-14	1097	Menem
1999-01-15	870	Menem
1999-01-18	841	Menem
1999-01-19	842	Menem
1999-01-20	830	Menem
1999-01-21	932	Menem
1999-01-22	937	Menem
1999-02-01	790	Menem
1999-02-02	769	Menem
1999-02-03	772	Menem
1999-02-04	777	Menem
1999-02-05	784	Menem
1999-02-08	810	Menem
1999-02-09	815	Menem
1999-02-10	795	Menem
1999-02-11	759	Menem
1999-02-12	742	Menem
1999-02-15	751	Menem
1999-02-16	724	Menem
1999-02-17	747	Menem
1999-02-18	753	Menem
1999-02-19	747	Menem
1999-02-22	762	Menem
1999-02-23	766	Menem
1999-02-24	767	Menem
1999-02-25	775	Menem
1999-02-26	786	Menem
1999-03-01	766	Menem
1999-03-02	799	Menem
1999-03-03	780	Menem
1999-03-04	748	Menem
1999-03-05	744	Menem
1999-03-08	742	Menem
1999-03-09	738	Menem
1999-03-10	716	Menem
1999-03-11	719	Menem
1999-03-12	709	Menem
1999-03-15	687	Menem
1999-03-16	700	Menem
1999-03-17	697	Menem
1999-03-18	689	Menem
1999-03-19	683	Menem
1999-03-22	682	Menem
1999-03-23	704	Menem
1999-03-24	698	Menem
1999-03-25	687	Menem
1999-03-26	689	Menem
1999-03-29	693	Menem
1999-03-30	696	Menem
1999-03-31	683	Menem
1999-04-01	661	Menem
1999-04-02	672	Menem
1999-04-05	660	Menem
1999-04-06	669	Menem
1999-04-07	643	Menem
1999-04-08	641	Menem
1999-04-09	641	Menem
1999-04-12	615	Menem
1999-04-13	611	Menem
1999-04-14	621	Menem
1999-04-15	623	Menem
1999-04-16	597	Menem
1999-04-19	612	Menem
1999-04-20	608	Menem
1999-04-21	597	Menem
1999-04-22	603	Menem
1999-04-23	622	Menem
1999-04-26	607	Menem
1999-04-27	615	Menem
1999-04-28	635	Menem
1999-04-29	621	Menem
1999-04-30	589	Menem
1999-05-03	585	Menem
1999-05-04	587	Menem
1999-05-05	591	Menem
1999-05-06	586	Menem
1999-05-07	576	Menem
1999-05-10	581	Menem
1999-05-11	610	Menem
1999-05-12	613	Menem
1999-05-13	623	Menem
1999-05-14	620	Menem
1999-05-17	657	Menem
1999-05-18	658	Menem
1999-05-19	718	Menem
1999-05-20	746	Menem
1999-05-21	775	Menem
1999-05-24	820	Menem
1999-05-25	806	Menem
1999-05-26	734	Menem
1999-05-27	783	Menem
1999-05-28	778	Menem
1999-06-01	790	Menem
1999-06-02	776	Menem
1999-06-03	770	Menem
1999-06-04	751	Menem
1999-06-07	738	Menem
1999-06-08	743	Menem
1999-06-09	750	Menem
1999-06-10	753	Menem
1999-06-11	768	Menem
1999-06-14	764	Menem
1999-06-15	754	Menem
1999-06-16	723	Menem
1999-06-17	729	Menem
1999-06-18	735	Menem
1999-06-21	726	Menem
1999-06-22	749	Menem
1999-06-23	732	Menem
1999-06-24	733	Menem
1999-06-25	745	Menem
1999-06-28	770	Menem
1999-06-29	761	Menem
1999-06-30	760	Menem
1999-07-01	777	Menem
1999-07-02	778	Menem
1999-07-05	779	Menem
1999-07-06	781	Menem
1999-07-07	789	Menem
1999-07-08	847	Menem
1999-07-09	890	Menem
1999-07-12	947	Menem
1999-07-13	923	Menem
1999-07-14	870	Menem
1999-07-15	890	Menem
1999-07-16	879	Menem
1999-07-19	868	Menem
1999-07-20	882	Menem
1999-07-21	888	Menem
1999-07-22	873	Menem
1999-07-23	885	Menem
1999-07-26	896	Menem
1999-07-27	887	Menem
1999-07-28	873	Menem
1999-07-29	856	Menem
1999-07-30	848	Menem
1999-08-02	874	Menem
1999-08-03	894	Menem
1999-08-04	907	Menem
1999-08-05	909	Menem
1999-08-06	905	Menem
1999-08-09	901	Menem
1999-08-10	900	Menem
1999-08-11	886	Menem
1999-08-12	853	Menem
1999-08-13	840	Menem
1999-08-16	833	Menem
1999-08-17	808	Menem
1999-08-18	837	Menem
1999-08-19	853	Menem
1999-08-20	852	Menem
1999-08-23	845	Menem
1999-08-24	845	Menem
1999-08-25	812	Menem
1999-08-26	811	Menem
1999-08-27	789	Menem
1999-08-30	786	Menem
1999-08-31	764	Menem
1999-09-01	763	Menem
1999-09-02	769	Menem
1999-09-03	765	Menem
1999-09-06	759	Menem
1999-09-07	739	Menem
1999-09-08	734	Menem
1999-09-09	706	Menem
1999-09-10	684	Menem
1999-09-13	689	Menem
1999-09-14	691	Menem
1999-09-15	704	Menem
1999-09-16	714	Menem
1999-09-17	701	Menem
1999-09-20	687	Menem
1999-09-21	705	Menem
1999-09-22	700	Menem
1999-09-23	694	Menem
1999-09-24	693	Menem
1999-09-27	680	Menem
1999-09-28	681	Menem
1999-09-29	669	Menem
1999-09-30	677	Menem
1999-10-01	668	Menem
1999-10-04	653	Menem
1999-10-05	658	Menem
1999-10-06	645	Menem
1999-10-07	642	Menem
1999-10-08	645	Menem
1999-10-11	644	Menem
1999-10-12	669	Menem
1999-10-13	677	Menem
1999-10-14	672	Menem
1999-10-15	696	Menem
1999-10-18	688	Menem
1999-10-19	671	Menem
1999-10-20	662	Menem
1999-10-21	639	Menem
1999-10-22	613	Menem
1999-10-25	620	Menem
1999-10-26	607	Menem
1999-10-27	621	Menem
1999-10-28	564	Menem
1999-10-29	635	Menem
1999-11-01	628	Menem
1999-11-02	629	Menem
1999-11-03	633	Menem
1999-11-04	618	Menem
1999-11-05	622	Menem
1999-11-08	615	Menem
1999-11-09	614	Menem
1999-11-10	617	Menem
1999-11-11	616	Menem
1999-11-12	617	Menem
1999-11-15	628	Menem
1999-11-16	620	Menem
1999-11-17	647	Menem
1999-11-18	642	Menem
1999-11-19	667	Menem
1999-11-22	652	Menem
1999-11-23	645	Menem
1999-11-24	641	Menem
1999-11-25	631	Menem
1999-11-26	641	Menem
1999-11-29	630	Menem
1999-11-30	657	Menem
1999-12-01	656	Menem
1999-12-02	646	Menem
1999-12-03	629	Menem
1999-12-06	633	Menem
1999-12-07	618	Menem
1999-12-08	620	Menem
1999-12-09	615	Menem
1999-12-10	607	De La Rúa
1999-12-13	584	De La Rúa
1999-12-14	580	De La Rúa
1999-12-15	567	De La Rúa
1999-12-16	570	De La Rúa
1999-12-17	566	De La Rúa
1999-12-20	570	De La Rúa
1999-12-21	543	De La Rúa
1999-12-22	547	De La Rúa
1999-12-23	545	De La Rúa
1999-12-24	546	De La Rúa
1999-12-27	549	De La Rúa
1999-12-28	544	De La Rúa
1999-12-29	542	De La Rúa
1999-12-30	544	De La Rúa
1999-12-31	531	De La Rúa
2000-01-03	509	De La Rúa
2000-01-04	558	De La Rúa
2000-01-05	540	De La Rúa
2000-01-06	566	De La Rúa
2000-01-07	558	De La Rúa
2000-01-10	558	De La Rúa
2000-01-11	560	De La Rúa
2000-01-12	561	De La Rúa
2000-01-13	551	De La Rúa
2000-01-14	545	De La Rúa
2000-01-18	540	De La Rúa
2000-01-19	546	De La Rúa
2000-01-20	548	De La Rúa
2000-01-21	545	De La Rúa
2000-01-24	558	De La Rúa
2000-01-25	561	De La Rúa
2000-01-26	567	De La Rúa
2000-01-27	571	De La Rúa
2000-01-28	592	De La Rúa
2000-01-31	593	De La Rúa
2000-02-01	583	De La Rúa
2000-02-02	588	De La Rúa
2000-02-03	595	De La Rúa
2000-02-04	569	De La Rúa
2000-02-07	547	De La Rúa
2000-02-08	549	De La Rúa
2000-02-09	549	De La Rúa
2000-02-10	544	De La Rúa
2000-02-11	551	De La Rúa
2000-02-14	553	De La Rúa
2000-02-15	548	De La Rúa
2000-02-16	551	De La Rúa
2000-02-17	550	De La Rúa
2000-02-18	563	De La Rúa
2000-02-22	581	De La Rúa
2000-02-23	562	De La Rúa
